Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,1.0206787055135,0,0,0,0,1.0206787055135,0,12.727922061358,12.787449007976
0.025,-5.4990269584435e-05,-1.8195523731281e-09,1.0172394368627,0,0,0,5.4990269614538e-05,1.0241184137543,0.025657722188438,12.727960944123,12.787156702241
0.05,-0.00010985338648133,6.7162637557414e-09,1.0076688183822,0,0,0,0.00010985338717545,1.0336891894836,0.025661154299507,12.727999744418,12.786279039094
0.075,-0.00016459126497938,9.9725407181788e-09,0.9919668491759,0,0,0,0.00016459126577036,1.0493912540991,0.025664601224315,12.728038452541,12.78482965788
0.1,-0.00021920400010708,1.3205500799072e-08,0.97013352833782,0,0,0,0.00021920400099375,1.0712246432398,0.025668062854021,12.728077072274,12.782830962419
0.125,-0.00027369142774077,1.6492925263129e-08,0.94216885590494,0,0,0,0.00027369142872661,1.0991893687553,0.025671538376911,12.728115603556,12.780314118557
0.15,-0.00032805336170155,1.9792218307074e-08,0.90807283208129,0,0,0,0.00032805336278751,1.1332854359157,0.025675028259159,12.728154046223,12.777319077583
0.175,-0.00038228961441707,2.3092996758356e-08,0.86784545709632,0,0,0,0.00038228961560347,1.1735128474625,0.025678532446867,12.728192400136,12.773894600435
0.2,-0.0004363999986179,2.6393582823853e-08,0.82148673118323,0,0,0,0.00043639999990497,1.2198716049546,0.025682050876255,12.728230665159,12.770098285172
0.225,-0.00049038432746202,2.9693736914389e-08,0.76899665457602,0,0,0,0.00049038432884996,1.2723617093224,0.025685583650079,12.728268841161,12.7659965967
0.25,-0.00054424241454277,3.2993427349297e-08,0.7103752275091,0,0,0,0.00054424241603178,1.3309831611302,0.025689130731381,12.728306928007,12.761664897357
0.275,-0.00059797407388907,3.6292650276757e-08,0.64562245021723,0,0,0,0.00059797407547937,1.3957359607153,0.025692692094994,12.728344925566,12.757187476771
0.3,-0.00065157911996673,3.9591405939881e-08,0.5747383229355,0,0,0,0.00065157912165854,1.466620108266,0.079932559679537,12.728382833705,12.752657579142
0.325,0.023366465255325,0.013166026790691,0.56794952802692,0,0,0,0.02804153484534,1.4948388504572,0.56548226087314,12.720735491456,12.744607677027
0.35,0.051339651807177,0.021339295726505,0.56198350900356,0,0,0,0.0571843125263,1.5245860330793,0.84531853842619,12.706812531707,12.730346831097
0.375,0.080509225818427,0.022854903301344,0.55523437451943,0,0,0,0.086393234353692,1.5545645575694,1.0481346920134,12.68736482792,12.710526096274
0.4,0.10526487412575,0.022839875752643,0.56233395493132,0,0,0,0.11114888722214,1.5803181280202,1.1698841480135,12.669962603849,12.693586590293
0.425,0.12936391552801,0.022876359787244,0.56395703223453,0,0,0,0.13524795624135,1.6044717924943,1.248519086508,12.653081930784,12.676836588151
0.45,0.15283825310876,0.022994587080661,0.56031136419844,0,0,0,0.15872259154305,1.6282278316839,1.3154569757189,12.63672039313,12.660282906154
0.475,0.17566675634515,0.023285303271511,0.5515408977348,0,0,0,0.18155294580919,1.6526848584432,1.4577792123514,12.620956178488,12.644015591397
0.5,0.19726473817299,0.023915811557478,0.53827554176666,0,0,0,0.20316012886794,1.678039148587,1.5880984031507,12.606316062351,12.628607433296
0.525,0.20536736209514,0.029264427628984,0.53221910830272,0,0,0,0.2128688985276,1.6894820762984,2.0381329918322,12.604490443479,12.626426740787
0.55,0.20955895286387,0.037268339420984,0.52502402834169,0,0,0,0.22190394347196,1.701032020575,2.1651764454014,12.607302361801,12.628811972748
0.575,0.21376453682236,0.045963562670632,0.52092912132883,0,0,0,0.23156281730865,1.7115230694852,2.5688514076972,12.610606265821,12.631872078714
0.6,0.21470436710453,0.045463914112624,0.52046464575246,0,0,0,0.23262720898505,1.7126843908024,2.7462086822566,12.609593045729,12.63083363059
0.625,0.21673867494032,0.04304089123133,0.51890608609485,0,0,0,0.23579098019265,1.7162112245751,2.8307801772858,12.606437564386,12.627593181367
0.65,0.21853362227574,0.04338493369511,0.51818850996865,0,0,0,0.23761860191331,1.7181746696726,2.9433051695269,12.605433860129,12.626549656186
0.675,0.22044326757367,0.043436624348323,0.51771790739468,0,0,0,0.23952894666951,1.7201421258653,3.0435029823926,12.604140684573,12.625231444412
0.7,0.22234460167889,0.043470949852841,0.51724493579349,0,0,0,0.24143059059515,1.7221017053496,3.1389125150494,12.602840993701,12.623906603757
0.725,0.22417180486582,0.043515590067668,0.51675515335074,0,0,0,0.24325833900101,1.7239939397633,3.2352983673133,12.601600483205,12.622639887104
0.75,0.22597749705366,0.043557641873607,0.51626048243306,0,0,0,0.24506452078356,1.7258666362012,3.3292864390068,12.600373236698,12.62138614419
0.775,0.22778371743078,0.043575249783759,0.51576690834919,0,0,0,0.24687082698385,1.7277391632278,3.424575006951,12.599128216138,12.620114734189
0.8,0.22959451276733,0.043570753499007,0.51527558864073,0,0,0,0.24868162790263,1.7296154348029,3.5238865279906,12.597864278679,12.618824582637
0.825,0.23140688346088,0.043540732049294,0.51478575000265,0,0,0,0.25049424722788,1.7314930744674,3.6285447412753,12.596581052637,12.61751527361
0.85,0.23322544286829,0.043491718212155,0.51429891527914,0,0,0,0.25231346702618,1.7333763080489,3.7400086630861,12.595280012487,12.616188366524
0.875,0.2350448913839,0.043417860405929,0.51381353700136,0,0,0,0.25413441399863,1.7352608345011,3.8577223538836,12.593960642068,12.614843256682
0.9,0.23686676496163,0.043324556331796,0.51332968541255,0,0,0,0.25595867521444,1.7371481716049,3.9801803983053,12.59262574391,12.613482745777
0.925,0.23868950643642,0.043207166338662,0.51284840250963,0,0,0,0.2577851929106,1.7390370337298,4.1087551039288,12.591273065816,12.612104644966
0.95,0.24051686498746,0.043067920109373,0.51236987118199,0,0,0,0.25961784912125,1.7409311353686,4.2426351600587,12.589901596132,12.610707954427
0.975,0.24234559221707,0.042908006289264,0.51189383403789,0,0,0,0.26145355490111,1.742827560182,4.3809563647298,12.588514445175,12.609295764221
1,0.24417346849652,0.042727168803542,0.51141953383177,0,0,0,0.26329035480561,1.744724609094,4.5271612063143,12.587112969192,12.607869384613
1.025,0.24600229322114,0.04252523892267,0.51094769858671,0,0,0,0.2651302938128,1.746624083771,4.6414099403724,12.585695791129,12.606427482315
1.05,0.24783164447893,0.042303069716029,0.5104781698663,0,0,0,0.26697308657943,1.7485257520912,4.8966034605927,12.584263813509,12.60497094898
1.075,0.24965908095871,0.042064142076676,0.51001000660225,0,0,0,0.2688160761357,1.7504272744672,5.0373340488126,12.582821231698,12.603503918914
1.1,0.25149060601024,0.041802627901512,0.50954555686902,0,0,0,0.27066617712704,1.7523347825885,5.1702792107088,12.58135967925,12.602018173601
1.125,0.25332082279905,0.041522190158744,0.50908317412976,0,0,0,0.27251775451446,1.7542432208556,5.2966378664277,12.579885537795,12.600519989602
1.15,0.25515096655754,0.041222761015664,0.50862326450672,0,0,0,0.27437223125697,1.7561538754162,5.4158303902314,12.578397896076,12.599008480124
1.175,0.25697688727672,0.040908047167318,0.50816469933145,0,0,0,0.2762250753624,1.7580626219418,5.5284990078286,12.576902300127,12.597489117353
1.2,0.25880494647623,0.040571119795634,0.50770934509487,0,0,0,0.2780839246007,1.7599764317472,5.6357232105417,12.57538934331,12.595952616461
1.225,0.26062940107029,0.040217140339198,0.50725532905576,0,0,0,0.27994240140211,1.7618895617964,5.7381186177722,12.573866724676,12.594406556668
1.25,0.26245671363297,0.039842419537922,0.50680481212582,0,0,0,0.28180773967723,1.7638085334963,5.8359794683235,12.572327296536,12.592843925068
1.275,0.26426713762516,0.039467026504495,0.50635160824063,0,0,0,0.28365667314305,1.7657122006737,5.9315959840521,12.570799209519,12.591292473298
1.3,0.26606338000047,0.039093413189363,0.50589763653229,0,0,0,0.28549135937784,1.7676022175763,6.0250402353805,12.56928234286,12.589752190473
1.325,0.26784797708812,0.038717334576981,0.50544253529467,0,0,0,0.28731515264681,1.7694819353808,6.1172706867321,12.567771879121,12.588218246502
1.35,0.26965155434054,0.038330084520702,0.50498222893813,0,0,0,0.28915983514293,1.7713831811443,6.2106739650771,12.566240277003,12.586662912831
1.375,0.27145785603515,0.037933629934044,0.50452118213996,0,0,0,0.29100913286133,1.7732890841328,6.3072088381755,12.564700245452,12.585099132264
1.4,0.27326092308631,0.037523302329535,0.5040621661335,0,0,0,0.29285830011553,1.7751943702604,6.4082886506131,12.563152564412,12.583527841147
1.425,0.27505876689768,0.037101501790247,0.50360468453881,0,0,0,0.29470496144479,1.7770968548135,6.5172099662353,12.56160033892,12.581952111061
1.45,0.27685443435277,0.036665636117614,0.503150102349,0,0,0,0.29655277109241,1.7789997592937,6.633666721889,12.560039585067,12.580368041947
1.475,0.27864730123999,0.036216451935371,0.50269796951763,0,0,0,0.29840105086152,1.7809025367905,6.7557943885717,12.558471270915,12.578776574453
1.5,0.28043350489349,0.035758498470983,0.50224662327762,0,0,0,0.30024502615076,1.7828009462025,6.8860433389774,12.556901349667,12.577183557545
1.525,0.282214997922,0.035289750062371,0.50179690738911,0,0,0,0.30208715602707,1.7846971758462,7.0231123619807,12.555327005301,12.57558622754
1.55,0.28399475482147,0.034811465266873,0.50134782045017,0,0,0,0.30393005889126,1.7865940074269,7.1664951752365,12.553747075949,12.573983367493
1.575,0.28576802556137,0.034322298329297,0.50090175044079,0,0,0,0.30576956246825,1.7884868232825,7.3122413606068,12.552163888924,12.572377436255
1.6,0.28753648825263,0.033823201143677,0.50045641813671,0,0,0,0.30760710383951,1.7903775583649,7.4618260370071,12.55057696176,12.570767822738
1.625,0.28929940520744,0.033313710935443,0.50001322789097,0,0,0,0.30944216690705,1.7922653809349,7.6142601503617,12.548986471118,12.569154782768
1.65,0.29105846048832,0.032794211208023,0.49957194380374,0,0,0,0.31127633032615,1.7941518822187,7.7770257800027,12.547391521773,12.56753740901
1.675,0.29281071200036,0.032267918374673,0.49913111211112,0,0,0,0.31310591211111,1.7960338232616,7.9452696298605,12.545796469191,12.565919967536
1.7,0.29456055245787,0.031730093585474,0.49869279244422,0,0,0,0.31493653963485,1.7979161944421,8.0928824624296,12.544194850934,12.564296122674
1.725,0.29631069080503,0.031180139359018,0.49825649817138,0,0,0,0.3167710515278,1.7998018737833,8.2347021788997,12.542584354931,12.562663538309
1.75,0.29805438407152,0.030622440032212,0.49782261682587,0,0,0,0.31860176033772,1.8016832955246,8.3697096499982,12.540972815415,12.561030057853
1.775,0.29979237420478,0.030057227954302,0.49738957366356,0,0,0,0.32042934737979,1.8035614863501,8.4994229541751,12.539359882868,12.559395243232
1.8,0.30152450810021,0.029485706766171,0.49695722637848,0,0,0,0.32225333320763,1.8054360125502,8.6239453138388,12.537746528459,12.557760055968
1.825,0.30324808968933,0.028908706908311,0.49652661244783,0,0,0,0.32407093116381,1.8073039233317,8.7421801726438,12.536135218925,12.556127017337
1.85,0.3049442233643,0.028327121543046,0.4961032953958,0,0,0,0.32586400421878,1.8091462881997,8.8462014119093,12.534539703252,12.554510168005
1.875,0.30663492941028,0.027737858231603,0.49568073000968,0,0,0,0.32765445616847,1.8109859293848,8.9451447107107,12.532942475233,12.552891660224
1.9,0.30832168209369,0.027144175562969,0.49525995565081,0,0,0,0.32944263784996,1.8128229500126,9.0402367688427,12.53134485793,12.551272873439
1.925,0.31002475694032,0.026510870517975,0.49484982153708,0,0,0,0.33125965166753,1.8146856762954,9.1332234484224,12.529707427573,12.549614944514
1.95,0.31171359399636,0.025887891988008,0.49443415799903,0,0,0,0.33305972745778,1.8165331202127,9.2267921233602,12.528087360467,12.547974048159
1.975,0.313399878807,0.025260309197148,0.49401735579947,0,0,0,0.33485900970968,1.8183800475787,9.3226645433778,12.526465795039,12.54633160016
2,0.31508175780415,0.024623408782362,0.49360241418633,0,0,0,0.33665744211024,1.820225727844,9.421037223398,12.524840619504,12.544685660793
2.025,0.3167613165552,0.023978792604957,0.49318844083386,0,0,0,0.33845645506584,1.8220717564329,9.5223992662362,12.523211540298,12.543035886654
2.05,0.31843967069832,0.023323361555369,0.49277667351868,0,0,0,0.34025824930783,1.8239200028484,9.62667829597,12.521575549367,12.541379343882
2.075,0.3201149689836,0.022662005315842,0.49236511771712,0,0,0,0.34205936463457,1.82576754029,9.7334981645916,12.519937452473,12.539720718471
2.1,0.32178800682415,0.021992448927919,0.49195467756936,0,0,0,0.34386140830012,1.8276157346757,9.8435275850177,12.518295057515,12.538057872499
2.125,0.32345938503244,0.021318153299401,0.49154417616396,0,0,0,0.34566367900947,1.8294641640397,9.9572220669616,12.516650441162,12.536392813238
2.15,0.32512956556909,0.02063415259794,0.4911355140759,0,0,0,0.34746849478528,1.8313146679405,10.076496338934,12.514999703123,12.534721753108
2.175,0.32679788829357,0.019939393813692,0.4907289629867,0,0,0,0.34927569994278,1.8331670378467,10.200958935666,12.513342540608,12.533044404858
