Time,X,Y,Z,tau_environment,KSSS,K_s,journey_2,journey_3,power_sekibun,distance_2,distance_3
0,0,0,-0.13504052068792,0,0,0,0,0.13504052068792,0,12.727922061358,12.741284136979
0.025,-5.4990307168202e-05,-1.9072426830567e-08,-0.13847979053947,0,0,0,5.4990310475671e-05,0.13848023013001,0.025657726506985,12.72796093195,12.74148089949
0.05,-0.00010985338857982,-4.211318093552e-08,-0.14805040800853,0,0,0,0.00010985339672548,0.14805100484773,0.025661157841728,12.727999709893,12.74196399726
0.075,-0.00016459127236185,-5.7269542310938e-08,-0.16375237707121,0,0,0,0.00016459128260583,0.16375306931968,0.025664602919228,12.728038404999,12.742747222824
0.1,-0.00021920400759312,-7.1342336169413e-08,-0.18558569786859,0,0,0,0.00021920401965026,0.1855864584197,0.0256680629422,12.728077012496,12.743853179804
0.125,-0.00027369143552276,-8.5361587662005e-08,-0.21355037029017,0,0,0,0.00027369144938343,0.21355118392392,0.025671537155689,12.72811553154,12.745313293258
0.15,-0.00032805337064479,-9.9381806969203e-08,-0.24764639411084,0,0,0,0.00032805338631341,0.24764725108128,0.025675025571528,12.728153961962,12.747167794153
0.175,-0.0003822896247098,-1.1340653042129e-07,-0.28787376909428,0,0,0,0.00038228964219172,0.28787466262652,0.025678527923578,12.728192303626,12.749465701736
0.2,-0.00043640001028974,-1.2743585676211e-07,-0.33423249500605,0,0,0,0.00043640002959037,0.33423342011738,0.025682044535033,12.728230556396,12.752264800844
0.225,-0.00049038434051555,-1.4146972871524e-07,-0.38672257161197,0,0,0,0.0004903843616403,0.38672352448386,0.025685575470662,12.728268720142,12.75563161241
0.25,-0.00054424242897625,-1.5550809385461e-07,-0.4453439986776,0,0,0,0.00054424245193059,0.44534497629039,0.025689120720157,12.72830679473,12.759641355787
0.275,-0.00059797408970036,-1.6955090189639e-07,-0.5100967759682,0,0,0,0.00059797411448975,0.51009777587417,0.025692680224637,12.728344780028,12.764377901352
0.3,-0.00065157913715418,-1.8359811170158e-07,-0.58098090324865,0,0,0,0.00065157916378411,0.58098192342362,0.030917385384304,12.728382675904,12.769933711652
0.325,0.0016882292698995,-0.0044306729003725,-0.64124852652791,0,0,0,0.0056619622668179,0.64145745859752,0.59317132585509,12.723595491916,12.770163043518
0.35,0.013630837449035,-0.0036294066592114,-0.63967886203015,0,0,0,0.017631419970055,0.65352939979789,0.79400792204952,12.715719192337,12.762181569468
0.375,0.031256687406693,-0.003764848515849,-0.63613579382869,0,0,0,0.035257790306185,0.67150833924121,0.95754940225953,12.703172970088,12.749379205045
0.4,0.041660798217395,-0.0041619157236789,-0.62668625426581,0,0,0,0.04566947528648,0.68556881512503,1.0337647082805,12.695548199771,12.740981303766
0.425,0.050822929698787,-0.0046257996696959,-0.6226987085972,0,0,0,0.054843342606083,0.69557183277256,1.1013182215572,12.688755937426,12.73387726796
0.45,0.058738983480069,-0.0052072894905135,-0.62406622423884,0,0,0,0.062780724912603,0.70362615688511,1.1542983976155,12.682761705188,12.728019432508
0.475,0.065429071270743,-0.0059406118732165,-0.63080781738733,0,0,0,0.06951088363019,0.71315212741539,1.2694506382993,12.677525861052,12.723372231131
0.5,0.0668301101695,-0.012075077701516,-0.6352573250133,0,0,0,0.075803306136221,0.7208587933033,1.5252225332543,12.672186815599,12.718430749428
0.525,0.065931684119246,-0.016948948375121,-0.63747991047475,0,0,0,0.080759290872961,0.72629033736041,1.5910561392277,12.66936394887,12.715807743881
0.55,0.065331507078855,-0.015025549297393,-0.63861157456649,0,0,0,0.082774154762165,0.72860125495058,1.65813649824,12.671150972117,12.717684910942
0.575,0.066088681117538,-0.014745869142318,-0.63866774701037,0,0,0,0.083581331021725,0.72941038340604,1.7391102399255,12.670815413767,12.717355381568
0.6,0.068013731379235,-0.014988091598701,-0.63854590064363,0,0,0,0.085521560448478,0.73135443504258,1.8007975373305,12.669286392569,12.715821541277
0.625,0.071163097853405,-0.015305692600691,-0.63850332964325,0,0,0,0.088686900806969,0.73452006165909,1.8559206344466,12.666840972498,12.713381432893
0.65,0.074655199031723,-0.015970346498519,-0.63789878123455,0,0,0,0.092241691299179,0.73812589224607,1.8806029096541,12.663908110499,12.710407630965
0.675,0.076915280785692,-0.017265817773423,-0.63767487186493,0,0,0,0.094846727836107,0.74074053385909,1.9048109616144,12.661396222171,12.707885796834
0.7,0.078003173158025,-0.018946547857707,-0.63834125723919,0,0,0,0.096848817601826,0.74285061274316,1.9381306515464,12.65943713158,12.705990849158
0.725,0.07955785799199,-0.019114706218206,-0.63832046785409,0,0,0,0.098412570193244,0.74441450352122,1.9848679417245,12.658222176474,12.704778567823
0.75,0.08159985459035,-0.019532160601419,-0.63821905301684,0,0,0,0.10049680105132,0.74650120025026,2.0048599284336,12.656487023188,12.703041098959
0.775,0.08344546245798,-0.019874861928197,-0.63809707562736,0,0,0,0.10237395650584,0.74838231457002,2.0260736839503,12.654943394436,12.701492694014
0.8,0.085293286884189,-0.020232734809059,-0.63797829501061,0,0,0,0.10425611699553,0.75026821937776,2.0450344383615,12.653387527373,12.699932369059
0.825,0.087131161012048,-0.020598659022191,-0.63786162831657,0,0,0,0.10613006519109,0.75214579572963,2.0659744736555,12.651833044399,12.698373603958
0.85,0.088966786755335,-0.020976931424731,-0.63774664319158,0,0,0,0.10800426152017,0.75402351601202,2.0923643739361,12.650271467188,12.696807914484
0.875,0.090800171080805,-0.021367489412062,-0.63763332704515,0,0,0,0.10987878375966,0.75590146014735,2.1238853955251,12.648702832773,12.695235336468
0.9,0.092631132944702,-0.021769953627987,-0.63752166067549,0,0,0,0.11175345674238,0.75777945593282,2.1613371592999,12.647127535506,12.693656261185
0.925,0.094459526312215,-0.022184624738261,-0.6374117003333,0,0,0,0.11362828325064,0.75965750431157,2.2034849228585,12.645545462366,12.692070580852
0.95,0.096285354974993,-0.022610697341147,-0.63730331068901,0,0,0,0.11550316675868,0.76153551828482,2.2476147021787,12.643957180073,12.690478848548
0.975,0.098108217845435,-0.023048224594872,-0.63719656508207,0,0,0,0.11737780249455,0.76341319071813,2.2932380827224,12.642362931001,12.688881312048
1,0.099928723056555,-0.023497114967847,-0.63709136428983,0,0,0,0.11925283363847,0.76529117074926,2.3459735290411,12.640762349624,12.687277598691
1.025,0.10174617565339,-0.023957271941512,-0.6369878002524,0,0,0,0.12112763452981,0.76716882990151,2.4095167247324,12.639155991538,12.68566826992
1.05,0.10356146527817,-0.024428660736713,-0.63688576017664,0,0,0,0.12300313014912,0.76904709931646,2.464912653236,12.637543252875,12.684052714446
